NDOC;HRP5;HRP5_1B;ASSALARIADO
510;1763.57;1763.57;N
511;2403.39;2243.86;N
512;322.21;659.65;S
513;2344.35;2344.35;S
514;2167.02;2402.19;S
515;1887.97;1995.98;S
516;9591.03;11053.87;S
517;2168.98;1975.79;N
518;1048.59;2416.78;S
519;1474.40;1474.40;S
520;2301.12;1833.62;N
521;3209.83;3742.94;S
522;262.99;603.67;S
523;1207.69;1309.45;S
524;4338.04;4338.04;N
525;1723.56;1723.56;S
526;988.67;1008.61;S
527;1801.60;1846.17;S
528;4326.71;4326.71;S
529;1621.81;2401.50;S
530;12718.33;15874.26;S
531;696.17;696.17;N
532;416.03;183.18;N
533;1028.82;917.01;S
534;411.28;411.28;N
535;1704.57;1624.51;S
536;2338.30;2110.43;N
537;1676.30;1798.40;S
538;2156.93;2473.70;S
539;970.15;970.15;S
540;2403.28;1934.83;S
541;1118.71;930.77;N
542;90.90;0.00;S
543;2950.36;3589.34;S
544;2473.13;2528.26;S
545;1829.88;2106.52;S
546;140.45;55.93;S
547;6964.48;7600.69;S
548;9187.33;9956.56;S
549;498.83;963.50;N
550;1921.16;1921.16;S
551;2128.38;1414.08;S
552;19159.10;19889.72;S
553;412.75;276.60;S
554;2935.51;3517.56;N
555;2981.34;3772.28;S
556;352.24;168.10;S
557;3571.86;670.25;N
558;3321.87;3966.08;S
559;3064.61;4439.31;S
560;2561.27;2454.49;N
561;6937.77;8554.34;N
562;1620.56;1852.14;S
563;2755.11;1351.91;N
564;682.66;682.66;S
565;1377.20;1327.94;S
566;1709.69;1709.69;S
567;1050.86;731.05;S
568;1784.03;2090.39;S
569;1537.04;1537.04;S
570;331.88;705.86;S
571;4962.27;4962.27;N
572;1904.50;472.66;N
573;9724.94;9080.16;S
574;1802.82;2995.81;N
575;5836.97;6174.36;S
576;4729.90;6186.39;N
577;4293.12;4077.18;N
578;54.27;0.00;S
579;1630.22;2228.78;S
580;2755.96;2529.37;N
581;3602.70;3602.70;S
582;1395.11;897.46;N
583;4091.45;5339.32;S
584;2373.13;1386.37;N
585;2537.15;2797.34;S
586;1645.93;2008.41;S
587;799.66;689.19;S
588;1290.65;1290.65;S
589;2487.19;3349.46;S
590;6588.93;5086.04;N
591;1316.33;1604.25;S
592;1840.11;1840.11;N
593;3925.70;3575.81;N
594;4717.43;4717.43;N
595;1886.34;1886.34;S
596;507.18;507.18;S
597;1590.04;1297.72;S
598;3731.64;3859.62;S
599;1396.79;922.79;S
600;514.14;1105.70;N
601;2483.50;2828.44;N
602;206.77;368.77;S
603;13240.71;9805.90;S
604;1173.85;1281.95;S
605;1907.24;1964.93;S
606;2501.84;2501.84;S
607;643.48;912.35;S
608;811.17;736.96;S
609;3044.89;3044.89;S
610;629.54;629.54;S
